,Concept 1,Concept 2,Count
5551,Technologies (Mitigation) – Carbon Capture And Storage,Good Practice And Opportunities – Good Practice,58
5552,Renewables – Wind Energy,Adaptation – Adaptation,73
5553,Sectors – Tourism,Sectors – Industry,232
5554,Sectors – Tourism,Climate Related Hazards – Marine Hazards,491
5555,Sectors – Industry,Climate Related Hazards – Marine Hazards,129
5556,Renewables – Wind Energy,Financial Flows – Financial Flow,2342
5557,Deforestation – Forest-Risk Commodities,Climate Related Hazards – Health Hazards,107
5558,Financial Flows – Financial Flow,Climate Related Hazards – Marine Hazards,999
5559,Climate Related Hazards – Marine Hazards,Climate Related Hazards – Marine Hazards,1769
5560,Renewables – Renewable Energy (General),Climate Related Hazards – Extreme Weather,380
5561,Sectors – Transport,Renewables – Renewable Hydrogen,122
5562,Renewables – Renewable Hydrogen,Good Practice And Opportunities – Opportunity,81
5563,Renewables – Renewable Hydrogen,Barriers And Challenges – Barriers,16
5564,Renewables – Renewable Hydrogen,Policy Instruments – Information And Education,60
5565,Sectors – Energy,Renewables – Renewable Hydrogen,474
5566,Good Practice And Opportunities – Good Practice,Climate Related Hazards – Environmental Degradatation,60
5567,Greenhouse Gases – Ozone,Financial Flows – Financial Flow,304
5568,Greenhouse Gases – Ozone,Adaptation – Adaptation,73
5569,Sectors – Fisheries & Aquaculture,Greenhouse Gases – Methane,206
5570,Sectors – Fisheries & Aquaculture,Greenhouse Gases – Nitrous Oxide,50
5571,Sectors – Fisheries & Aquaculture,Fossil Fuels – Gas,153
5572,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Chlorofluorocarbons,444
5573,Greenhouse Gases – Chlorofluorocarbons,Greenhouse Gases – Chlorofluorocarbons,130
5574,Greenhouse Gases – Hydrochlorofluorocarbons,Greenhouse Gases – Hydrochlorofluorocarbons,129
5575,Greenhouse Gases – Greenhouse Gases,Equity And Just Transition – Equity And Justice,467
5576,Renewables – Renewable Hydrogen,Renewables – Heat Pumps,5
5577,Renewables – Heat Pumps,Policy Instruments – Information And Education,72
5578,Renewables – Heat Pumps,Equity And Just Transition – Inequality & Human Rights,1
5579,Renewables – Renewable Energy (General),Renewables – Heat Pumps,248
5580,Renewables – Renewable Hydrogen,Renewables – Geothermal Energy,17
5581,Renewables – Renewable Hydrogen,Renewables – Renewable Hydrogen,227
5582,Renewables – Renewable Hydrogen,Equity And Just Transition – Inequality & Human Rights,4
5583,Technologies (Mitigation) – Buildings And Homes Technologies,Renewables – Renewable Hydrogen,9
5584,Renewables – Renewable Hydrogen,Renewables – Renewable Energy (General),259
5585,Renewables – Geothermal Energy,Equity And Just Transition – Inequality & Human Rights,4
5586,Technologies (Mitigation) – Buildings And Homes Technologies,Equity And Just Transition – Inequality & Human Rights,3
5587,Renewables – Renewable Energy (General),Equity And Just Transition – Inequality & Human Rights,64
5588,Sectors – Transport,Equity And Just Transition – Just Transition,383
5589,Technologies (Mitigation) – Waste And Recycling Technologies,Climate Related Hazards – Environmental Degradatation,45
5590,Greenhouse Gases – Ozone,Barriers And Challenges – Barriers,47
5591,Technologies (Mitigation) – Waste And Recycling Technologies,Deforestation – Forest-Risk Commodities,140
5592,Sectors – Water Services,Equity And Just Transition – Equity And Justice,144
5593,Deforestation – Forest-Risk Commodities,Deforestation – Afforestation,148
5594,Policy Instruments – Economic Instruments,Deforestation – Afforestation,697
5595,Technologies (Mitigation) – Transport Technologies,Fossil Fuels – Fossil Fuel,200
5596,Technologies (Mitigation) – Carbon Capture And Storage,Deforestation – Forest-Risk Commodities,299
5597,Sectors – Water Services,Fossil Fuels – Coal,543
5598,Technologies (Adaptation) – Hazard Management Technologies,Fossil Fuels – Coal,85
5599,Policy Instruments – Information And Education,Greenhouse Gases – Nitrous Oxide,106
5600,Technologies (Mitigation) – Waste And Recycling Technologies,Renewables – Renewable Energy (General),324
5601,Technologies (Mitigation) – Waste And Recycling Technologies,Good Practice And Opportunities – Good Practice,50
5602,Sectors – Tourism,Good Practice And Opportunities – Good Practice,43
5603,Sectors – Water Services,Renewables – Wind Energy,127
5604,Sectors – Water Services,Deforestation – Reforestation,164
5605,Renewables – Bioenergy,Deforestation – Reforestation,400
5606,Renewables – Wind Energy,Greenhouse Gases – Methane,37
5607,Greenhouse Gases – Methane,Deforestation – Reforestation,22
5608,Fossil Fuels – Gas,Deforestation – Reforestation,27
5609,Renewables – Wind Energy,Deforestation – Reforestation,5
5610,Technologies (Mitigation) – Carbon Capture And Storage,Climate Related Hazards – Extreme Weather,346
5611,Sectors – Transport,Equity And Just Transition – Gender Equality,26
5612,Sectors – Tourism,Equity And Just Transition – Gender Equality,13
5613,Sectors – Transport,Equity And Just Transition – Inequality & Human Rights,38
5614,Sectors – Tourism,Equity And Just Transition – Inequality & Human Rights,30
5615,Sectors – Insurance & Financial Services,Fossil Fuels – Fossil Fuel,872
5616,Sectors – Buildings,Renewables – Geothermal Energy,102
5617,Barriers And Challenges – Lessons Learned,Barriers And Challenges – Barriers,46
5618,Technologies (Mitigation) – Transport Technologies,Sectors – Insurance & Financial Services,228
5619,Technologies (Mitigation) – Transport Technologies,Capacity Building – Capacity-Building,28
5620,Sectors – Transport,Capacity Building – Capacity-Building,170
5621,Technologies (Mitigation) – Clean Technologies (General),Barriers And Challenges – Barriers,119
5622,Technologies (Mitigation) – Carbon Capture And Storage,Barriers And Challenges – Challenges,524
5623,Technologies (Adaptation) – Hazard Management Technologies,Deforestation – Forest-Risk Commodities,76
5624,Renewables – Wind Energy,Good Practice And Opportunities – Good Practice,14
5625,Renewables – Wind Energy,Policy Instruments – Governance,134
5626,Technologies (Mitigation) – Energy And Power Technologies,Renewables – Wind Energy,458
5627,Mitigation – Mitigation,International Cooperation – International Cooperation,457
5628,Sectors – Fisheries & Aquaculture,Barriers And Challenges – Challenges,903
5629,Technologies (Adaptation) – Agriculture And Land Management Technologies,Technologies (Adaptation) – Agriculture And Land Management Technologies,90
5630,Greenhouse Gases – Hydrofluorocarbons,Barriers And Challenges – Barriers,146
5631,Sectors – Water Services,Greenhouse Gases – Sulphur Hexafluoride,59
5632,Sectors – Water Services,Greenhouse Gases – Perfluorocarbons,38
5633,Sectors – Water Services,Greenhouse Gases – Hydrofluorocarbons,130
5634,Vulnerable Groups – Vulnerable Groups,Mitigation – Mitigation,214
5635,Technologies (Mitigation) – Waste And Recycling Technologies,Policy Instruments – Economic Instruments,840
5636,Technologies (Mitigation) – Waste And Recycling Technologies,Sectors – Buildings,176
5637,Sectors – Tourism,Renewables – Renewable Energy (General),89
5638,Policy Instruments – Governance,Fossil Fuels – Oil,1024
5639,Mitigation – Mitigation,Equity And Just Transition – Gender Equality,234
5640,Policy Instruments – Economic Instruments,Greenhouse Gases – Ozone,91
5641,Policy Instruments – Economic Instruments,Greenhouse Gases – Ozone-Depleting Substances,69
5642,Technologies (Mitigation) – Agriculture And Land Management Technologies,Policy Instruments – Economic Instruments,101
5643,Greenhouse Gases – Perfluorocarbons,Fossil Fuels – Coal,29
5644,Greenhouse Gases – Perfluorocarbons,Financial Flows – Financial Flow,126
5645,Greenhouse Gases – Perfluorocarbons,Equity And Just Transition – Just Transition,9
5646,Policy Instruments – Economic Instruments,Greenhouse Gases – Perfluorocarbons,99
5647,Mitigation – Mitigation,Greenhouse Gases – Perfluorocarbons,113
5648,Loss And Damage – Loss & Damage,Good Practice And Opportunities – Success,25
5649,Climate Related Hazards – Health Hazards,Capacity Building – Capacity-Building,103
5650,Mitigation – Mitigation,Equity And Just Transition – Inequality & Human Rights,382
5651,Equity And Just Transition – Gender Equality,Deforestation – Forests,54
5652,Equity And Just Transition – Inequality & Human Rights,Deforestation – Forests,106
5653,Sectors – Energy,Equity And Just Transition – Gender Equality,78
5654,Vulnerable Groups – Local And Rural Communities,Equity And Just Transition – Gender Equality,47
5655,Vulnerable Groups – Vulnerable Groups,Vulnerable Groups – Vulnerable Groups,183
5656,Equity And Just Transition – Just Transition,Equity And Just Transition – Gender Equality,198
5657,Vulnerable Groups – Women And Girls,Renewables – Renewable Energy (General),750
5658,Renewables – Renewable Energy (General),Equity And Just Transition – Gender Equality,36
5659,Greenhouse Gases – Carbon Dioxide,Financial Flows – Financial Flow,5234
5660,Loss And Damage – Loss & Damage,Barriers And Challenges – Lessons Learned,17
5661,Loss And Damage – Loss & Damage,Good Practice And Opportunities – Good Practice,24
5662,Deforestation – Forests,Climate Related Hazards – Marine Hazards,344
5663,Deforestation – Deforestation,Climate Related Hazards – Marine Hazards,52
5664,Vulnerable Groups – Indigenous People,Sectors – Health Services,343
5665,Equity And Just Transition – Equity And Justice,Adaptation – Adaptation,1275
5666,Loss And Damage – Loss & Damage,Equity And Just Transition – Equity And Justice,174
5667,Good Practice And Opportunities – Good Practice,Barriers And Challenges – Barriers,121
5668,Loss And Damage – Loss & Damage,Climate Related Hazards – Environmental Degradatation,50
5669,"Sectors – Agriculture, Forestry And Other Land Use",Loss And Damage – Loss & Damage,172
5670,Loss And Damage – Loss & Damage,Climate Related Hazards – Marine Hazards,86
5671,Loss And Damage – Loss & Damage,Deforestation – Deforestation,9
5672,Loss And Damage – Loss & Damage,Deforestation – Forests,50
5673,Policy Instruments – Governance,Climate Related Hazards – Marine Hazards,167
5674,Loss And Damage – Loss & Damage,Good Practice And Opportunities – Opportunity,158
5675,Sectors – Health Services,Barriers And Challenges – Lessons Learned,17
5676,Vulnerable Groups – Indigenous People,Policy Instruments – Economic Instruments,616
5677,Vulnerable Groups – Women And Girls,Climate Related Hazards – Marine Hazards,26
5678,Sectors – Health Services,Climate Related Hazards – Marine Hazards,154
5679,Vulnerable Groups – Children,Climate Related Hazards – Marine Hazards,32
5680,Technologies (Adaptation) – Hazard Management Technologies,Loss And Damage – Loss & Damage,40
5681,Loss And Damage – Loss & Damage,Equity And Just Transition – Just Transition,188
5682,Good Practice And Opportunities – Good Practice,Good Practice And Opportunities – Case Study,29
5683,Policy Instruments – Information And Education,Good Practice And Opportunities – Case Study,316
5684,Sectors – Water Services,Good Practice And Opportunities – Case Study,190
5685,Policy Instruments – Regulatory Instruments,Good Practice And Opportunities – Case Study,119
5686,Loss And Damage – Loss & Damage,Good Practice And Opportunities – Case Study,9
5687,Sectors – Water Services,Loss And Damage – Loss & Damage,90
5688,Sectors – Insurance & Financial Services,Climate Related Hazards – Marine Hazards,139
5689,Policy Instruments – Economic Instruments,Good Practice And Opportunities – Case Study,157
5690,Good Practice And Opportunities – Case Study,Barriers And Challenges – Lessons Learned,17
5691,Good Practice And Opportunities – Case Study,Adaptation – Adaptation,409
5692,Sectors – Insurance & Financial Services,Good Practice And Opportunities – Case Study,121
5693,Barriers And Challenges – Lessons Learned,Barriers And Challenges – Lessons Learned,23
5694,Capacity Building – Capacity-Building,Barriers And Challenges – Lessons Learned,73
5695,Sectors – Fisheries & Aquaculture,Loss And Damage – Loss & Damage,60
5696,Vulnerable Groups – Women And Girls,Good Practice And Opportunities – Case Study,41
5697,Good Practice And Opportunities – Case Study,Equity And Just Transition – Just Transition,58
5698,Loss And Damage – Loss & Damage,Equity And Just Transition – Gender Equality,6
5699,Vulnerable Groups – Indigenous People,Financial Flows – Financial Flow,1305
5700,Vulnerable Groups – Migrants,Vulnerable Groups – Local And Rural Communities,29
5701,Vulnerable Groups – Local And Rural Communities,Loss And Damage – Loss & Damage,14
5702,Vulnerable Groups – People With Disabilities,Vulnerable Groups – Local And Rural Communities,43
5703,Vulnerable Groups – Migrants,Vulnerable Groups – Children,79
5704,Vulnerable Groups – Migrants,Loss And Damage – Loss & Damage,5
5705,Vulnerable Groups – Migrants,Vulnerable Groups – Indigenous People,57
5706,Vulnerable Groups – Women And Girls,Vulnerable Groups – Migrants,109
5707,Vulnerable Groups – Migrants,Equity And Just Transition – Equity And Justice,47
5708,Vulnerable Groups – Migrants,Equity And Just Transition – Gender Equality,25
5709,Vulnerable Groups – People With Disabilities,Vulnerable Groups – Migrants,42
5710,Vulnerable Groups – Migrants,Equity And Just Transition – Inequality & Human Rights,57
5711,Vulnerable Groups – Migrants,Sectors – Health Services,74
5712,Vulnerable Groups – Vulnerable Groups,Vulnerable Groups – Migrants,38
5713,Vulnerable Groups – Children,Loss And Damage – Loss & Damage,37
5714,Vulnerable Groups – Children,Equity And Just Transition – Equity And Justice,338
5715,Vulnerable Groups – Indigenous People,Loss And Damage – Loss & Damage,83
5716,Vulnerable Groups – People With Disabilities,Loss And Damage – Loss & Damage,4
5717,Loss And Damage – Loss & Damage,Equity And Just Transition – Inequality & Human Rights,53
5718,Vulnerable Groups – Vulnerable Groups,Loss And Damage – Loss & Damage,25
5719,Vulnerable Groups – Indigenous People,Equity And Just Transition – Gender Equality,100
5720,Vulnerable Groups – People With Disabilities,Vulnerable Groups – Indigenous People,110
5721,Equity And Just Transition – Gender Equality,Equity And Just Transition – Equity And Justice,316
5722,Vulnerable Groups – People With Disabilities,Equity And Just Transition – Equity And Justice,61
5723,Vulnerable Groups – Vulnerable Groups,Equity And Just Transition – Equity And Justice,204
5724,Vulnerable Groups – People With Disabilities,Equity And Just Transition – Gender Equality,49
5725,Vulnerable Groups – People With Disabilities,Equity And Just Transition – Inequality & Human Rights,88
5726,Vulnerable Groups – Vulnerable Groups,Vulnerable Groups – People With Disabilities,129
5727,Loss And Damage – Loss & Damage,International Cooperation – International Cooperation,29
5728,Technologies (Mitigation) – Energy And Power Technologies,Technologies (Adaptation) – Hazard Management Technologies,133
5729,Technologies (Mitigation) – Energy And Power Technologies,Loss And Damage – Loss & Damage,10
5730,Vulnerable Groups – Indigenous People,Sectors – Fisheries & Aquaculture,322
5731,Vulnerable Groups – Women And Girls,Good Practice And Opportunities – Good Practice,173
5732,Vulnerable Groups – Women And Girls,Barriers And Challenges – Lessons Learned,51
5733,Sectors – Transport,Deforestation – Deforestation,52
5734,Fossil Fuels – Fossil Fuel,Capacity Building – Capacity-Building,69
5735,Fossil Fuels – Oil,Barriers And Challenges – Lessons Learned,8
5736,Sectors – Insurance & Financial Services,Equity And Just Transition – Equity And Justice,937
5737,Equity And Just Transition – Equity And Justice,Capacity Building – Capacity-Building,131
5738,Sectors – Insurance & Financial Services,Fossil Fuels – Coal,450
5739,Fossil Fuels – Coal,Capacity Building – Capacity-Building,42
5740,Equity And Just Transition – Inequality & Human Rights,Capacity Building – Capacity-Building,86
5741,Vulnerable Groups – Local And Rural Communities,Capacity Building – Capacity-Building,129
5742,Vulnerable Groups – Indigenous People,Capacity Building – Capacity-Building,167
5743,Sectors – Health Services,Good Practice And Opportunities – Success,131
5744,Good Practice And Opportunities – Success,Climate Related Hazards – Extreme Weather,217
5745,Renewables – Renewable Energy (General),Good Practice And Opportunities – Success,266
5746,Good Practice And Opportunities – Success,Climate Related Hazards – Health Hazards,96
5747,Vulnerable Groups – Women And Girls,Climate Related Hazards – Terrestrial Hazards,42
5748,Climate Related Hazards – Terrestrial Hazards,Climate Related Hazards – Environmental Degradatation,400
5749,"Sectors – Agriculture, Forestry And Other Land Use",Good Practice And Opportunities – Case Study,354
5750,Sectors – Industry,Loss And Damage – Loss & Damage,31
5751,Sectors – Energy,Loss And Damage – Loss & Damage,67
5752,Loss And Damage – Loss & Damage,Fossil Fuels – Fossil Fuel,37
5753,Vulnerable Groups – Indigenous People,Renewables – Wind Energy,26
5754,Response Measures – Response Measures,Renewables – Wind Energy,2
5755,Vulnerable Groups – Local And Rural Communities,Renewables – Wind Energy,30
5756,Renewables – Wind Energy,Equity And Just Transition – Just Transition,64
5757,Vulnerable Groups – Indigenous People,Response Measures – Response Measures,8
5758,"Sectors – Agriculture, Forestry And Other Land Use",Response Measures – Response Measures,97
5759,Vulnerable Groups – Local And Rural Communities,Response Measures – Response Measures,16
5760,Response Measures – Response Measures,Equity And Just Transition – Just Transition,505
5761,Response Measures – Response Measures,Policy Instruments – Economic Instruments,336
5762,Good Practice And Opportunities – Case Study,Climate Related Hazards – Extreme Weather,237
5763,Technologies (Mitigation) – Carbon Capture And Storage,Equity And Just Transition – Just Transition,175
5764,Technologies (Mitigation) – Carbon Capture And Storage,Renewables – Renewable Energy (General),917
5765,Vulnerable Groups – Indigenous People,Technologies (Mitigation) – Carbon Capture And Storage,65
5766,Technologies (Mitigation) – Carbon Capture And Storage,Policy Instruments – Economic Instruments,1626
5767,Technologies (Mitigation) – Carbon Capture And Storage,Good Practice And Opportunities – Opportunity,875
5768,Technologies (Mitigation) – Carbon Capture And Storage,Fossil Fuels – Coal,814
5769,Vulnerable Groups – Indigenous People,Fossil Fuels – Fossil Fuel,103
5770,Vulnerable Groups – Indigenous People,Fossil Fuels – Coal,74
5771,Good Practice And Opportunities – Opportunity,Fossil Fuels – Coal,352
5772,Vulnerable Groups – Local And Rural Communities,Good Practice And Opportunities – Success,81
5773,Vulnerable Groups – Indigenous People,Good Practice And Opportunities – Success,101
5774,"Sectors – Agriculture, Forestry And Other Land Use",Good Practice And Opportunities – Success,728
5775,Policy Instruments – Economic Instruments,Deforestation – Rainforests,32
5776,Sectors – Insurance & Financial Services,Deforestation – Rainforests,19
5777,Vulnerable Groups – Local And Rural Communities,Deforestation – Rainforests,6
5778,Financial Flows – Financial Flow,Deforestation – Rainforests,175
5779,Vulnerable Groups – Women And Girls,Deforestation – Deforestation,124
5780,Equity And Just Transition – Just Transition,Deforestation – Deforestation,284
5781,Good Practice And Opportunities – Case Study,Fossil Fuels – Fossil Fuel,15
5782,Sectors – Industry,Good Practice And Opportunities – Case Study,79
5783,Mitigation – Mitigation,Good Practice And Opportunities – Case Study,130
5784,Sectors – Energy,Good Practice And Opportunities – Case Study,150
5785,Vulnerable Groups – Indigenous People,Policy Instruments – Regulatory Instruments,397
5786,Equity And Just Transition – Equity And Justice,Deforestation – Deforestation,24
5787,Vulnerable Groups – Local And Rural Communities,Deforestation – Deforestation,163
5788,Fossil Fuels – Fossil Fuel,Deforestation – Deforestation,149
5789,Equity And Just Transition – Inequality & Human Rights,Deforestation – Deforestation,26
5790,Vulnerable Groups – Local And Rural Communities,Fossil Fuels – Fossil Fuel,50
5791,Sectors – Industry,Equity And Just Transition – Inequality & Human Rights,137
5792,Vulnerable Groups – Indigenous People,Climate Related Hazards – Health Hazards,92
5793,Good Practice And Opportunities – Success,Equity And Just Transition – Equity And Justice,93
5794,International Cooperation – International Cooperation,Equity And Just Transition – Equity And Justice,94
5795,International Cooperation – International Cooperation,Good Practice And Opportunities – Success,48
5796,Technologies (Mitigation) – Energy And Power Technologies,International Cooperation – International Cooperation,40
5797,Renewables – Renewable Energy (General),Loss And Damage – Loss & Damage,43
5798,Sectors – Fisheries & Aquaculture,Deforestation – Afforestation,59
5799,Policy Instruments – Regulatory Instruments,Greenhouse Gases – Nitrogen Trifluoride,95
5800,Fossil Fuels – Fossil Fuel,Climate Related Hazards – Health Hazards,188
5801,Technologies (Mitigation) – Energy And Power Technologies,Climate Related Hazards – Health Hazards,87
5802,Technologies (Mitigation) – Transport Technologies,Climate Related Hazards – Health Hazards,99
5803,"Sectors – Agriculture, Forestry And Other Land Use",Deforestation – Woodlands,818
5804,Deforestation – Woodlands,Deforestation – Forests,1593
5805,Sectors – Buildings,Climate Related Hazards – Health Hazards,60
5806,Fossil Fuels – Oil,Climate Related Hazards – Health Hazards,251
5807,Fossil Fuels – Coal,Climate Related Hazards – Health Hazards,87
5808,Greenhouse Gases – Carbon Dioxide,Climate Related Hazards – Health Hazards,82
5809,Policy Instruments – Regulatory Instruments,Deforestation – Woodlands,148
5810,Sectors – Industry,Deforestation – Woodlands,57
5811,Greenhouse Gases – Nitrogen Trifluoride,Deforestation – Forests,112
5812,Technologies (Mitigation) – Agriculture And Land Management Technologies,Deforestation – Revegetation,38
5813,"Sectors – Agriculture, Forestry And Other Land Use",Deforestation – Revegetation,128
5814,Deforestation – Revegetation,Deforestation – Revegetation,9
5815,Greenhouse Gases – Methane,Climate Related Hazards – Health Hazards,24
5816,Fossil Fuels – Gas,Climate Related Hazards – Health Hazards,77
5817,Greenhouse Gases – Nitrogen Trifluoride,Barriers And Challenges – Barriers,11
5818,Greenhouse Gases – Perfluorocarbons,Barriers And Challenges – Barriers,23
5819,Greenhouse Gases – Nitrous Oxide,Barriers And Challenges – Barriers,66
5820,Greenhouse Gases – Ozone,Fossil Fuels – Gas,380
5821,Technologies (Mitigation) – Clean Technologies (General),Fossil Fuels – Coal,60
5822,Technologies (Mitigation) – Clean Technologies (General),Renewables – Renewable Energy (General),487
5823,Technologies (Mitigation) – Energy And Power Technologies,Technologies (Mitigation) – Clean Technologies (General),209
5824,Technologies (Mitigation) – Clean Technologies (General),Policy Instruments – Regulatory Instruments,391
5825,Technologies (Mitigation) – Clean Technologies (General),Fossil Fuels – Gas,79
5826,Sectors – Insurance & Financial Services,Renewables – Wind Energy,159
5827,Renewables – Heat Pumps,Financial Flows – Financial Flow,755
5828,Renewables – Marine Energy,Policy Instruments – Information And Education,35
5829,Technologies (Mitigation) – Waste And Recycling Technologies,Good Practice And Opportunities – Success,28
5830,Technologies (Mitigation) – Carbon Capture And Storage,Fossil Fuels – Oil,656
5831,Greenhouse Gases – Methane,Financial Flows – Financial Flow,1717
5832,Technologies (Mitigation) – Carbon Capture And Storage,Sectors – Transport,439
5833,Sectors – Transport,Good Practice And Opportunities – Success,140
5834,Renewables – Renewable Hydrogen,Fossil Fuels – Oil,30
5835,Renewables – Renewable Hydrogen,Policy Instruments – Governance,24
5836,Renewables – Wind Energy,Renewables – Renewable Hydrogen,18
5837,Renewables – Renewable Hydrogen,Greenhouse Gases – Greenhouse Gases,108
5838,Renewables – Renewable Hydrogen,Good Practice And Opportunities – Success,9
5839,Renewables – Renewable Hydrogen,Policy Instruments – Economic Instruments,182
5840,Technologies (Adaptation) – Water Management And Conservation Technologies,Sectors – Transport,13
5841,Technologies (Adaptation) – Water Management And Conservation Technologies,Renewables – Bioenergy,116
5842,Technologies (Adaptation) – Water Management And Conservation Technologies,Greenhouse Gases – Methane,127
5843,Technologies (Adaptation) – Water Management And Conservation Technologies,Fossil Fuels – Gas,103
5844,Technologies (Mitigation) – Energy And Power Technologies,Technologies (Adaptation) – Water Management And Conservation Technologies,108
5845,Technologies (Adaptation) – Water Management And Conservation Technologies,Greenhouse Gases – Greenhouse Gases,223
5846,Renewables – Renewable Hydrogen,Policy Instruments – Regulatory Instruments,170
5847,Sectors – Water Services,Renewables – Renewable Hydrogen,15
5848,Technologies (Mitigation) – Clean Technologies (General),Fossil Fuels – Oil,143
5849,Technologies (Mitigation) – Clean Technologies (General),Technologies (Mitigation) – Carbon Capture And Storage,133
5850,Technologies (Mitigation) – Clean Technologies (General),Sectors – Transport,203
5851,Sectors – Buildings,Deforestation – Forest-Risk Commodities,52
5852,Technologies (Mitigation) – Waste And Recycling Technologies,Financial Flows – Financial Flow,1975
5853,Sectors – Industry,Good Practice And Opportunities – Success,360
5854,Technologies (Mitigation) – Industrial Technologies,Barriers And Challenges – Barriers,6
5855,Technologies (Mitigation) – Industrial Technologies,Policy Instruments – Information And Education,37
5856,Technologies (Mitigation) – Industrial Technologies,Sectors – Water Services,3
5857,Technologies (Mitigation) – Industrial Technologies,Financial Flows – Financial Flow,40
5858,Technologies (Mitigation) – Industrial Technologies,Sectors – Industry,118
5859,Technologies (Mitigation) – Industrial Technologies,Good Practice And Opportunities – Opportunity,19
5860,Technologies (Mitigation) – Industrial Technologies,Greenhouse Gases – Emissions,45
5861,Technologies (Mitigation) – Industrial Technologies,Sectors – Energy,46
5862,Technologies (Mitigation) – Industrial Technologies,Policy Instruments – Governance,5
5863,Technologies (Mitigation) – Industrial Technologies,Renewables – Renewable Energy (General),22
5864,Renewables – Renewable Energy (General),International Cooperation – International Cooperation,159
5865,Sectors – Industry,International Cooperation – International Cooperation,154
5866,Technologies (Mitigation) – Industrial Technologies,Policy Instruments – Economic Instruments,33
5867,Technologies (Mitigation) – Industrial Technologies,International Cooperation – International Cooperation,3
5868,Technologies (Mitigation) – Carbon Capture And Storage,Sectors – Buildings,75
5869,Sectors – Buildings,Fossil Fuels – Coal,203
5870,Technologies (Mitigation) – Transport Technologies,Renewables – Heat Pumps,51
5871,Renewables – Heat Pumps,Fossil Fuels – Coal,63
5872,Renewables – Heat Pumps,Good Practice And Opportunities – Opportunity,82
5873,Technologies (Mitigation) – Buildings And Homes Technologies,Good Practice And Opportunities – Opportunity,235
5874,Renewables – Heat Pumps,Equity And Just Transition – Just Transition,24
5875,Technologies (Mitigation) – Buildings And Homes Technologies,Equity And Just Transition – Just Transition,55
5876,Technologies (Mitigation) – Clean Technologies (General),Sectors – Buildings,64
5877,Technologies (Mitigation) – Clean Technologies (General),Renewables – Heat Pumps,12
5878,Technologies (Mitigation) – Clean Technologies (General),Technologies (Mitigation) – Buildings And Homes Technologies,21
5879,Technologies (Mitigation) – Clean Technologies (General),Fossil Fuels – Fossil Fuel,79
5880,Sectors – Transport,Renewables – Heat Pumps,29
5881,Renewables – Heat Pumps,Renewables – Bioenergy,281
5882,Technologies (Mitigation) – Energy And Power Technologies,Equity And Just Transition – Just Transition,250
5883,Vulnerable Groups – Children,Sectors – Buildings,82
5884,Technologies (Mitigation) – Clean Technologies (General),Sectors – Health Services,35
5885,Technologies (Mitigation) – Buildings And Homes Technologies,Sectors – Insurance & Financial Services,112
5886,Vulnerable Groups – Local And Rural Communities,Renewables – Renewable Energy (General),230
5887,Technologies (Mitigation) – Transport Technologies,Good Practice And Opportunities – Opportunity,308
5888,Vulnerable Groups – Children,Sectors – Transport,76
5889,Technologies (Mitigation) – Clean Technologies (General),Policy Instruments – Governance,137
5890,Renewables – Renewable Hydrogen,Greenhouse Gases – Emissions,209
5891,Financial Flows – Financial Flow,Deforestation – Woodlands,376
5892,Greenhouse Gases – Emissions,Deforestation – Woodlands,150
5893,Policy Instruments – Economic Instruments,Deforestation – Woodlands,136
5894,Deforestation – Woodlands,Deforestation – Woodlands,427
5895,Deforestation – Woodlands,Deforestation – Afforestation,196
5896,Fossil Fuels – Coal,Deforestation – Woodlands,59
5897,Good Practice And Opportunities – Opportunity,Deforestation – Woodlands,35
5898,Fossil Fuels – Coal,Deforestation – Afforestation,121
5899,Technologies (Mitigation) – Carbon Capture And Storage,Deforestation – Afforestation,736
5900,Sectors – Insurance & Financial Services,Deforestation – Woodlands,21
5901,Deforestation – Woodlands,Capacity Building – Capacity-Building,3
5902,Sectors – Fisheries & Aquaculture,Fossil Fuels – Coal,88
5903,Fossil Fuels – Coal,Barriers And Challenges – Barriers,334
5904,Greenhouse Gases – Greenhouse Gases,Deforestation – Woodlands,42
5905,Deforestation – Woodlands,Barriers And Challenges – Challenges,22
5906,Technologies (Mitigation) – Clean Technologies (General),Deforestation – Woodlands,1
5907,Technologies (Mitigation) – Clean Technologies (General),"Sectors – Agriculture, Forestry And Other Land Use",125
5908,Technologies (Mitigation) – Carbon Capture And Storage,Deforestation – Woodlands,60
5909,Deforestation – Woodlands,Climate Related Hazards – Extreme Weather,64
5910,Technologies (Mitigation) – Agriculture And Land Management Technologies,Sectors – Health Services,5
5911,Technologies (Mitigation) – Carbon Capture And Storage,Technologies (Adaptation) – Hazard Management Technologies,46
5912,Fossil Fuels – Coal,Barriers And Challenges – Challenges,407
5913,Sectors – Health Services,Fossil Fuels – Gas,108
5914,Technologies (Mitigation) – Waste And Recycling Technologies,Climate Related Hazards – Health Hazards,24
5915,Technologies (Adaptation) – Hazard Management Technologies,Renewables – Bioenergy,189
5916,Technologies (Mitigation) – Carbon Capture And Storage,Sectors – Water Services,476
5917,Technologies (Mitigation) – Carbon Capture And Storage,Sectors – Insurance & Financial Services,317
5918,Renewables – Bioenergy,Good Practice And Opportunities – Success,139
5919,Technologies (Mitigation) – Carbon Capture And Storage,Good Practice And Opportunities – Success,125
5920,Technologies (Mitigation) – Clean Technologies (General),Renewables – Wind Energy,39
